relative contribution to rate (dimensionless), Energy (eV) 
0.037995272714294426 , 0.06374876760717216
0.9250925817483198 , 0.06314494133130327
0.9872393284087467 , 0.06263977982842178
1.0 , 0.062183229543528555
4.1257956753884246e-14 , 0.05024106974660366
4.14493626565579e-14 , 0.05024106130854454
6.140823910870256e-29 , 0.031026995738698625
6.8325155805904585e-15 , 0.011465443966592636
6.8458086360010355e-15 , 0.011465442093220566
