m (eV), gayy (GeV^(-1))
0.01, 2.5353605683403496e-12
0.010004606691503637, 2.5358677967205517e-12
0.010009215505167928, 2.5363750535725645e-12
0.0100138264419705, 2.5368823388011657e-12
0.010018439502889411, 2.537389652310991e-12
0.010023054688903176, 2.5378969940065375e-12
0.010027672000990756, 2.5384043637921634e-12
0.010032291440131577, 2.5389117615720867e-12
0.010036913007305503, 2.5394191872503858e-12
0.010041536703492851, 2.5399266407309983e-12
0.010046162529674389, 2.540434121917723e-12
0.010050790486831348, 2.5409416307142166e-12
0.0100554205759454, 2.5414491670239984e-12
0.010060052797998669, 2.541956730750442e-12
0.01006468715397373, 2.542464321796785e-12
0.010069323644853629, 2.54297194006612e-12
0.010073962271621838, 2.5434795854614026e-12
0.010078603035262302, 2.5439872578854433e-12
0.010083245936759404, 2.5444949572409123e-12
0.010087890977097997, 2.545002683430339e-12
0.010092538157263378, 2.5455104363561094e-12
0.010097187478241296, 2.54601821592047e-12
0.010101838941017955, 2.5465260220255205e-12
0.010106492546580022, 2.5470338545732236e-12
0.010111148295914613, 2.5475417134653954e-12
0.010115806190009291, 2.5480495986037115e-12
0.010120466229852082, 2.548557509889702e-12
0.01012512841643147, 2.5490654472247577e-12
0.01012979275073639, 2.5495734105101237e-12
0.010134459233756232, 2.5500813996469025e-12
0.010139127866480835, 2.5505894145360506e-12
0.010143798649900514, 2.551097455078385e-12
0.010148471585006024, 2.551605521174576e-12
0.010153146672788578, 2.552113612725149e-12
0.010157823914239843, 2.5526217296304875e-12
0.01016250331035196, 2.5531298717908296e-12
0.010167184862117507, 2.5536380391062677e-12
0.010171868570529527, 2.5541462314767513e-12
0.010176554436581518, 2.5546544488020833e-12
0.010181242461267448, 2.5551626909819224e-12
0.010185932645581725, 2.5556709579157807e-12
0.010190624990519226, 2.556179249503027e-12
0.010195319497075278, 2.556687565642882e-12
0.010200016166245681, 2.557195906234423e-12
0.01020471499902668, 2.557704271176579e-12
0.010209415996414985, 2.558212660368133e-12
0.010214119159407757, 2.5587210737077242e-12
0.010218824489002633, 2.559229511093843e-12
0.010223531986197697, 2.5597379724248323e-12
0.010228241651991493, 2.56024645759889e-12
0.010232953487383024, 2.560754966514066e-12
0.010237667493371768, 2.5612634990682638e-12
0.010242383670957644, 2.561772055159238e-12
0.010247102021141043, 2.5622806346845977e-12
0.010251822544922806, 2.562789237541801e-12
0.010256545243304254, 2.563297863628162e-12
0.010261270117287152, 2.5638065128408418e-12
0.010265997167873735, 2.564315185076859e-12
0.010270726396066689, 2.5648238802330784e-12
0.01027545780286918, 2.5653325982062203e-12
0.010280191389284826, 2.565841338892853e-12
0.010284927156317703, 2.566350102189397e-12
