relative contribution to rate (dimensionless), Energy (eV) 
0.9934393369116828 , 0.10954159700920814
1.0 , 0.10922909772747892
0.9459756638698387 , 0.10593728301771375
3.9778723730053825e-16 , 0.09140333823144418
3.882145517151435e-16 , 0.09140333822487715
7.952282443500115e-18 , 0.09133504429803338
0.00038876286359472445 , 0.08416089406083781
1.6360340742062959e-16 , 0.07822472068530417
0.0009395323086385062 , 0.07632696731776444
0.0010008011560043442 , 0.076325527182561
7.662006180652338e-05 , 0.07341321501054843
4.464825016397836e-17 , 0.07022305440598829
3.857470683192153e-17 , 0.07022305428898663
2.3928283866769385e-16 , 0.06434889355842163
0.17611393919660143 , 0.06103784541912266
0.0576311634478846 , 0.05822339190481524
0.059103426114937886 , 0.05820919278388199
1.3606949763718107e-15 , 0.05436366590070071
1.3574158734287855e-15 , 0.05436366585505221
1.0559726662412545e-15 , 0.05283776935710986
1.042052340974998e-15 , 0.05283776924810303
2.38009813612145e-16 , 0.05095575563336219
0.006086940344320304 , 0.047555913521507245
0.006239374000302947 , 0.047554923113396194
9.600878335936562e-16 , 0.04560796711378166
9.522578010517226e-16 , 0.04560796709337095
1.9162413388203016e-18 , 0.03761950535506031
