relative contribution to rate (dimensionless), Energy (eV) 
1.0 , 0.07462601423226417
0.8925822693728445 , 0.07393697900869552
0.8902828612465165 , 0.07393138852249274
2.3297337073835993e-18 , 0.06184217663682561
4.0366582339883544e-29 , 0.0508653821785822
0.012013603575797355 , 0.05016249199188538
0.012093788747059506 , 0.050162434381797384
1.8098420878774008e-15 , 0.04834130799182355
7.377425232867909e-15 , 0.03687385466052399
0.08472144384793209 , 0.03651993862790632
0.0853885699639555 , 0.03651713405514447
5.161641791067135e-15 , 0.03543705908973967
5.119083085195781e-15 , 0.03543705908973965
2.3720463013609595e-30 , 0.02561001156406688
1.0948130502019066e-21 , 0.012461221027663753
