m (eV), gayy (GeV^(-1))
0.01, 1.8800944911264903e-12
0.010004606691503637, 1.8799820262930515e-12
0.010009215505167928, 1.879868907170322e-12
0.0100138264419705, 1.8797551328837474e-12
0.010018439502889411, 1.879640702557739e-12
0.010023054688903176, 1.87952561531567e-12
0.010027672000990756, 1.879409870279877e-12
0.010032291440131577, 1.8792934665716594e-12
0.010036913007305503, 1.8791764033112735e-12
0.010041536703492851, 1.879058679617938e-12
0.010046162529674389, 1.8789402946098264e-12
0.010050790486831348, 1.8788212474040703e-12
0.0100554205759454, 1.8787015371167566e-12
0.010060052797998669, 1.8785811628629252e-12
0.01006468715397373, 1.8784601237565704e-12
0.010069323644853629, 1.8783384189106358e-12
0.010073962271621838, 1.8782160474370186e-12
0.010078603035262302, 1.878093008446562e-12
0.010083245936759404, 1.8779693010490604e-12
0.010087890977097997, 1.8778449243532522e-12
0.010092538157263378, 1.877719877466823e-12
0.010097187478241296, 1.8775941594964024e-12
0.010101838941017955, 1.8774677695475623e-12
0.010106492546580022, 1.877340706724818e-12
0.010111148295914613, 1.8772129701316244e-12
0.010115806190009291, 1.8770845588703756e-12
0.010120466229852082, 1.8769554720424055e-12
0.01012512841643147, 1.8768257087479836e-12
0.01012979275073639, 1.8766952680863154e-12
0.010134459233756232, 1.8765641491555417e-12
0.010139127866480835, 1.8764323510527352e-12
0.010143798649900514, 1.8762998728739018e-12
0.010148471585006024, 1.8761667137139786e-12
0.010153146672788578, 1.8760328726668305e-12
0.010157823914239843, 1.875898348825253e-12
0.01016250331035196, 1.875763141280967e-12
0.010167184862117507, 1.8756272491246197e-12
0.010171868570529527, 1.875490671445784e-12
0.010176554436581518, 1.875353407332955e-12
0.010181242461267448, 1.8752154558735498e-12
0.010185932645581725, 1.8750768161539075e-12
0.010190624990519226, 1.874937487259286e-12
0.010195319497075278, 1.874797468273862e-12
0.010200016166245681, 1.8746567582807296e-12
0.01020471499902668, 1.874515356361897e-12
0.010209415996414985, 1.874373261598291e-12
0.010214119159407757, 1.874230473069747e-12
0.010218824489002633, 1.8740869898550155e-12
0.010223531986197697, 1.8739428110317572e-12
0.010228241651991493, 1.873797935676543e-12
0.010232953487383024, 1.8736523628648512e-12
0.010237667493371768, 1.8735060916710666e-12
0.010242383670957644, 1.8733591211684823e-12
0.010247102021141043, 1.8732114504292933e-12
0.010251822544922806, 1.8730630785245995e-12
0.010256545243304254, 1.8729140045244027e-12
0.010261270117287152, 1.8727642274976046e-12
0.010265997167873735, 1.8726137465120065e-12
0.010270726396066689, 1.8724625606343096e-12
0.01027545780286918, 1.8723106689301096e-12
0.010280191389284826, 1.8721580704639e-12
0.010284927156317703, 1.8720047642990666e-12
0.01028966510497235, 1.8718507494978904e-12
0.010294405236253783, 1.8716960251215426e-12
0.010299147551167467, 1.8715405902300856e-12
0.010303892050719334, 1.8713844438824713e-12
0.010308638735915771, 1.871227585136539e-12
0.01031338760776365, 1.8710700130490153e-12
0.01031813866727029, 1.8709117266755124e-12
0.010322891915443475, 1.8707527250705247e-12
0.010327647353291452, 1.8705930072874322e-12
0.010332404981822947, 1.8704325723784946e-12
0.010337164802047136, 1.8702714193948516e-12
0.010341926814973664, 1.870109547386524e-12
0.010346691021612635, 1.869946955402407e-12
0.010351457422974638, 1.8697836424902754e-12
0.010356226020070703, 1.8696196076967767e-12
0.010360996813912338, 1.8694548500674336e-12
0.010365769805511522, 1.8692893686466406e-12
0.010370544995880693, 1.869123162477663e-12
0.010375322386032752, 1.868956230602637e-12
0.010380101976981068, 1.868788572062566e-12
0.010384883769739492, 1.868620185897321e-12
0.010389667765322323, 1.86845107114564e-12
0.010394453964744334, 1.8682812268451246e-12
0.010399242369020761, 1.8681106520322396e-12
0.010404032979167322, 1.8679393457423122e-12
0.010408825796200191, 1.86776730700953e-12
0.01041362082113601, 1.86759453486694e-12
0.010418418054991885, 1.867421028346447e-12
0.01042321749878541, 1.8672467864788135e-12
0.010428019153534631, 1.867071808293656e-12
0.010432823020258065, 1.8668960928194457e-12
0.010437629099974697, 1.866719639083506e-12
0.010442437393703992, 1.8665424461120133e-12
0.010447247902465874, 1.8663645129299925e-12
0.010452060627280742, 1.866185838561317e-12
0.010456875569169456, 1.866006422028709e-12
0.010461692729153363, 1.8658262623537363e-12
0.010466512108254266, 1.86564535855681e-12
0.010471333707494446, 1.8654637096571864e-12
0.010476157527896646, 1.865281314672964e-12
0.010480983570484097, 1.8650981726210806e-12
0.010485811836280487, 1.8649142825173136e-12
0.010490642326309979, 1.86472964337628e-12
0.010495475041597204, 1.864544254211432e-12
0.010500309983167278, 1.8643581140350575e-12
0.010505147152045778, 1.8641712218582776e-12
0.010509986549258755, 1.8639835766910487e-12
0.01051482817583273, 1.863795177542156e-12
0.01051967203279471, 1.863606023419215e-12
0.010524518121172163, 1.863416113328671e-12
0.010529366441993029, 1.863225446275795e-12
0.010534216996285723, 1.8630340212646857e-12
0.010539069785079147, 1.862841837298264e-12
0.010543924809402663, 1.8626488933782767e-12
0.010548782070286108, 1.86245518850529e-12
0.010553641568759792, 1.8622607216786923e-12
0.010558503305854516, 1.8620654918966893e-12
0.010563367282601535, 1.8618694981563074e-12
0.010568233500032588, 1.8616727394533854e-12
0.010573101959179888, 1.861475214782581e-12
0.010577972661076131, 1.861276923137362e-12
0.010582845606754479, 1.8610778635100113e-12
0.010587720797248571, 1.8608780348916214e-12
0.01059259823359252, 1.860677436272094e-12
0.010597477916820933, 1.86047606664014e-12
0.010602359847968873, 1.8602739249832754e-12
0.010607244028071885, 1.8600710102878233e-12
0.01061213045816599, 1.8598673215389102e-12
0.010617019139287701, 1.859662857720465e-12
0.010621910072473992, 1.8594576178152175e-12
0.010626803258762316, 1.8592516008046984e-12
0.010631698699190607, 1.8590448056692355e-12
0.010636596394797285, 1.858837231387955e-12
0.010641496346621235, 1.8586288769387767e-12
0.010646398555701831, 1.8584197412984185e-12
0.010651303023078913, 1.8582098234423865e-12
0.01065620974979282, 1.8579991223449827e-12
0.010661118736884355, 1.857787636979295e-12
0.0106660299853948, 1.857575366317203e-12
0.01067094349636592, 1.857362309329373e-12
0.010675859270839968, 1.857148464985257e-12
0.010680777309859666, 1.8569338322530892e-12
0.010685697614468222, 1.856718410099892e-12
0.010690620185709317, 1.8565021974914646e-12
0.010695545024627127, 1.8562851933923888e-12
0.010700472132266298, 1.856067396766025e-12
0.010705401509671959, 1.8558488065745104e-12
0.010710333157889714, 1.85562942177876e-12
0.010715267077965671, 1.8554092413384606e-12
0.010720203270946397, 1.855188264212074e-12
0.010725141737878948, 1.8549664893568344e-12
0.010730082479810861, 1.8547439157287445e-12
0.010735025497790167, 1.8545205422825777e-12
0.010739970792865365, 1.8542963679718735e-12
0.010744918366085439, 1.8540713917489384e-12
0.01074986821849987, 1.853845612564843e-12
0.010754820351158607, 1.8536190293694222e-12
0.010759774765112088, 1.8533916411112712e-12
0.01076473146141123, 1.8531634467377464e-12
0.010769690441107451, 1.852934445194964e-12
0.010774651705252635, 1.8527046354277957e-12
0.010779615254899158, 1.8524740163798713e-12
0.010784581091099874, 1.8522425869935733e-12
0.010789549214908137, 1.852010346210039e-12
0.010794519627377775, 1.8517772929691575e-12
0.010799492329563103, 1.8515434262095662e-12
0.010804467322518916, 1.851308744868655e-12
0.010809444607300512, 1.8510732478825565e-12
0.010814424184963659, 1.8508369341861534e-12
0.010819406056564618, 1.850599802713071e-12
0.010824390223160129, 1.850361852395678e-12
0.010829376685807435, 1.850123082165084e-12
0.010834365445564254, 1.8498834909511407e-12
0.01083935650348879, 1.8496430776824372e-12
0.010844349860639736, 1.8494018412862993e-12
0.010849345518076283, 1.8491597806887897e-12
0.010854343476858095, 1.8489168948147052e-12
0.010859343738045335, 1.8486731825875745e-12
0.010864346302698641, 1.84842864292966e-12
0.010869351171879161, 1.8481832747619515e-12
0.010874358346648514, 1.847937077004169e-12
0.010879367828068814, 1.8476900485747583e-12
0.010884379617202658, 1.8474421883908926e-12
0.01088939371511315, 1.847193495368466e-12
0.010894410122863865, 1.8469439684220983e-12
0.010899428841518878, 1.846693606465129e-12
0.010904449872142744, 1.846442408409618e-12
0.010909473215800526, 1.8461903731663418e-12
0.010914498873557762, 1.8459374996447953e-12
0.010919526846480489, 1.8456837867531876e-12
0.010924557135635225, 1.8454292333984424e-12
0.010929589742088996, 1.845173838486194e-12
0.010934624666909308, 1.8449176009207894e-12
0.010939661911164156, 1.8446605196052834e-12
0.010944701475922032, 1.84440259344144e-12
0.010949743362251928, 1.8441438213297278e-12
0.010954787571223317, 1.8438842021693216e-12
0.010959834103906167, 1.8436237348580973e-12
0.010964882961370933, 1.8433624182926365e-12
0.010969934144688583, 1.843100251368216e-12
0.010974987654930561, 1.8428372329788164e-12
0.01098004349316881, 1.8425733620171117e-12
0.010985101660475758, 1.8423086373744742e-12
0.010990162157924347, 1.8420430579409685e-12
0.010995224986587997, 1.8417766226053537e-12
0.011000290147540625, 1.8415093302550787e-12
0.01100535764185664, 1.8412411797762836e-12
0.011010427470610961, 1.8409721700537956e-12
