relative contribution to rate (dimensionless), Energy (eV) 
0.9604961223254147 , 0.10613999959207164
0.9623066011138479 , 0.1059465231062666
1.0 , 0.10170075246593742
6.498705105299214e-19 , 0.0897585003034707
3.2351254380221336e-16 , 0.08931990964362885
3.2116306997407307e-16 , 0.08931990964356513
3.47156111578633e-23 , 0.08288593369296286
5.238590482342949e-16 , 0.07631097254714761
0.004866175349379182 , 0.0746923057453089
0.004925132193790219 , 0.07469132265635695
2.2619786459684516e-23 , 0.07202406772123712
6.26911884430327e-17 , 0.06877496930530447
6.26738831712511e-17 , 0.06877496930504626
1.6921548525829837e-16 , 0.06399429017388986
0.04861159936378076 , 0.06331586453879652
0.025223760242850078 , 0.05784445620533788
0.02557676929139919 , 0.05783880183356906
1.4254219204244529e-16 , 0.05332073686603991
1.4251482771977447e-16 , 0.053320736865930224
3.091120928655676e-16 , 0.05099716957730568
3.0830671042071927e-16 , 0.05099716957714019
3.958903808746124e-17 , 0.04957275215387274
0.001342151500413716 , 0.04594951437810786
0.0013744955828334867 , 0.04594913151383026
7.901524245850051e-16 , 0.04493422853235331
7.905135044928185e-16 , 0.04493422853222703
6.266954677928378e-19 , 0.03602034676136617
