relative contribution to rate (dimensionless), Energy (eV) 
0.9886986317462491 , 0.10954159700920814
0.9953285357138223 , 0.10922909772747892
1.0 , 0.10593728301771375
3.3885293710158643e-16 , 0.09140333823144418
3.4104229593464905e-16 , 0.09140333822487715
4.453248151905528e-18 , 0.09133504429803338
1.2784998720589136e-18 , 0.08416089406083781
2.0348766282547492e-16 , 0.07822472068530417
0.0034334041519810407 , 0.07632696731776444
0.0035511635745122936 , 0.076325527182561
4.345122016750157e-19 , 0.07341321501054843
4.3709183726040524e-17 , 0.07022305440598829
4.3679528467823166e-17 , 0.07022305428898663
1.6043934139600846e-16 , 0.06434889355842163
0.06125924358803963 , 0.06103784541912266
0.02425767258970827 , 0.05822339190481524
0.025208560213530816 , 0.05820919278388199
4.267426233197833e-16 , 0.05436366590070071
4.262576434122486e-16 , 0.05436366585505221
3.573871893713311e-16 , 0.05283776935710986
3.5775608613488644e-16 , 0.05283776924810303
5.873364022515252e-17 , 0.05095575563336219
0.0012140112336758069 , 0.047555913521507245
0.0012793248690475894 , 0.047554923113396194
2.541293545079788e-16 , 0.04560796711378166
2.5425872999709004e-16 , 0.04560796709337095
5.2697164666048376e-20 , 0.03761950535506031
