m (eV), gayy (GeV^(-1))
0.01, 1.467001051600319e-13
0.010004606691503637, 1.4530210346462658e-13
0.010009215505167928, 1.4390232806646453e-13
0.0100138264419705, 1.4250078327843167e-13
0.010018439502889411, 1.41097473694314e-13
0.010023054688903176, 1.396924042039428e-13
0.010027672000990756, 1.3828558000932948e-13
0.010032291440131577, 1.368770066418449e-13
0.010036913007305503, 1.3546668998054586e-13
0.010041536703492851, 1.3405463627170982e-13
0.010046162529674389, 1.326408521496936e-13
0.010050790486831348, 1.3122534465920773e-13
0.0100554205759454, 1.2980812127914062e-13
0.010060052797998669, 1.2838918994802682e-13
0.01006468715397373, 1.2696855909131907e-13
0.010069323644853629, 1.2554623765059913e-13
0.010073962271621838, 1.2412223511491155e-13
0.010078603035262302, 1.2269656155436104e-13
0.010083245936759404, 1.2126922765621425e-13
0.010087890977097997, 1.198402447636786e-13
0.010092538157263378, 1.1840962491763652e-13
0.010097187478241296, 1.1697738090156246e-13
0.010101838941017955, 1.1554352628992624e-13
0.010106492546580022, 1.1410807550039576e-13
0.010111148295914613, 1.1267104385019831e-13
0.010115806190009291, 1.1123244761701746e-13
0.010120466229852082, 1.097923041048555e-13
0.01012512841643147, 1.0835063171534696e-13
0.01012979275073639, 1.0690745002504987e-13
0.010134459233756232, 1.0546277986929591e-13
0.010139127866480835, 1.0401664343326406e-13
0.010143798649900514, 1.0256906435099325e-13
0.010148471585006024, 1.0112006781317927e-13
0.010153146672788578, 9.966968068462875e-14
0.010157823914239843, 9.821793163242254e-14
0.01016250331035196, 9.676485126590732e-14
0.010167184862117507, 9.531047228983427e-14
0.010171868570529527, 9.385482967205203e-14
0.010176554436581518, 9.239796082740958e-14
0.010181242461267448, 9.093990581969339e-14
0.010185932645581725, 8.948070758369666e-14
0.010190624990519226, 8.802041216974137e-14
0.010195319497075278, 8.655906901335621e-14
0.010200016166245681, 8.509673123311648e-14
0.01020471499902668, 8.363345596013115e-14
0.010209415996414985, 8.21693047030825e-14
0.010214119159407757, 8.070434375335647e-14
0.010218824489002633, 7.923864463539146e-14
0.010223531986197697, 7.777228460820248e-14
0.010228241651991493, 7.630534722485737e-14
0.010232953487383024, 7.483792295777201e-14
0.010237667493371768, 7.337010989888255e-14
0.010242383670957644, 7.19020145452067e-14
0.010247102021141043, 7.043375268194389e-14
0.010251822544922806, 6.896545037730368e-14
0.010256545243304254, 6.749724510555382e-14
0.010261270117287152, 6.602928701761134e-14
0.010265997167873735, 6.456174038174245e-14
0.010270726396066689, 6.309478522095483e-14
0.01027545780286918, 6.162861917829937e-14
0.010280191389284826, 6.016345964700375e-14
0.010284927156317703, 5.869954620904935e-14
0.01028966510497235, 5.723714343397933e-14
0.010294405236253783, 5.5776544099490324e-14
0.010299147551167467, 5.431807290720718e-14
0.010303892050719334, 5.286209078128904e-14
0.010308638735915771, 5.1408999854872536e-14
0.01031338760776365, 4.9959249270299906e-14
0.01031813866727029, 4.851334194457888e-14
0.010322891915443475, 4.7071842482316466e-14
0.010327647353291452, 4.563538645582149e-14
0.010332404981822947, 4.420469131722319e-14
0.010337164802047136, 4.278056926190363e-14
0.010341926814973664, 4.136394242762232e-14
0.010346691021612635, 3.995586089097139e-14
0.010351457422974638, 3.855752401303067e-14
0.010356226020070703, 3.717030578944871e-14
0.010360996813912338, 3.579578497443565e-14
0.010365769805511522, 3.443578086790868e-14
0.010370544995880693, 3.3092395767943e-14
0.010375322386032752, 3.17680651739104e-14
0.010380101976981068, 3.046561683869967e-14
0.010384883769739492, 2.9188339642611264e-14
0.010389667765322323, 2.7940062886417655e-14
0.010394453964744334, 2.672524580540323e-14
0.010399242369020761, 2.5549075639050393e-14
0.010404032979167322, 2.4417570109914732e-14
0.010408825796200191, 2.3337676256077566e-14
0.01041362082113601, 2.2317351831528726e-14
0.010418418054991885, 2.136560780617981e-14
0.01042321749878541, 2.0492481459204514e-14
0.010428019153534631, 1.9708901215410654e-14
0.010432823020258065, 1.9026400990224587e-14
0.010437629099974697, 1.8456649968642698e-14
0.010442437393703992, 1.801079051114208e-14
0.010447247902465874, 1.7698624934133893e-14
0.010452060627280742, 1.7527752809249466e-14
0.010454534001974736, 1.749655297213047e-14
0.010454534001974752, 1.74965529721304e-14
0.010456875569169456, 1.7502811343054334e-14
0.010458885770906715, 1.753597083385877e-14
0.010461692729153363, 1.7624982622766104e-14
0.010466512108254266, 1.7891885127751522e-14
0.010471333707494446, 1.8297873799071008e-14
0.010476157527896646, 1.8834670968983064e-14
0.010480983570484097, 1.949218182233824e-14
0.010485811836280487, 2.0259334370815056e-14
0.010490642326309979, 2.1124817890819164e-14
0.010495475041597204, 2.2077650286707532e-14
0.010500309983167278, 2.3107558534627396e-14
0.010505147152045778, 2.420519285764177e-14
0.010509986549258755, 2.536221227062652e-14
0.01051482817583273, 2.6571281464927803e-14
0.01051967203279471, 2.7826013288827475e-14
0.010524518121172163, 2.912088257634082e-14
0.010529366441993029, 3.04511288644177e-14
0.010534216996285723, 3.181265892497065e-14
0.010539069785079147, 3.320195526645582e-14
0.010543924809402663, 3.4615993583069206e-14
0.010548782070286108, 3.605217015742172e-14
0.010553641568759792, 3.7508239084826e-14
0.010558503305854516, 3.8982258592621537e-14
0.010563367282601535, 4.0472545467578905e-14
0.010568233500032588, 4.1977636539019346e-14
0.010573101959179888, 4.3496256205464556e-14
0.010577972661076131, 4.502728908428681e-14
0.010582845606754479, 4.656975697481999e-14
0.010587720797248571, 4.812279943823199e-14
0.01059259823359252, 4.968565740290482e-14
0.010597477916820933, 5.12576592982746e-14
0.010602359847968873, 5.283820930171952e-14
0.010607244028071885, 5.442677735272133e-14
0.01061213045816599, 5.6022890646964355e-14
0.010617019139287701, 5.762612637190352e-14
0.010621910072473992, 5.923610548581182e-14
0.010626803258762316, 6.085248737588963e-14
0.010631698699190607, 6.247496525864725e-14
0.010636596394797285, 6.410326220862939e-14
0.010641496346621235, 6.573712772039132e-14
0.010646398555701831, 6.737633472422575e-14
0.010651303023078913, 6.902067698895533e-14
0.01065620974979282, 7.066996685582513e-14
0.010661118736884355, 7.232403325628657e-14
0.0106660299853948, 7.398271997389693e-14
0.01067094349636592, 7.56458841166096e-14
0.010675859270839968, 7.731339477086163e-14
0.010680777309859666, 7.89851318131281e-14
0.010685697614468222, 8.066098485821906e-14
0.010690620185709317, 8.234085232657067e-14
0.010695545024627127, 8.40246406153513e-14
0.010700472132266298, 8.571226336031493e-14
0.010705401509671959, 8.740364077719042e-14
0.010710333157889714, 8.909869907288948e-14
0.010715267077965671, 9.079736991817466e-14
0.010720203270946397, 9.249958997447685e-14
0.010725141737878948, 9.420530046860122e-14
0.010730082479810861, 9.591444680978574e-14
0.010735025497790167, 9.76269782443417e-14
0.010739970792865365, 9.934284754366284e-14
0.010744918366085439, 1.0106201072195976e-13
0.01074986821849987, 1.0278442678048805e-13
0.010754820351158607, 1.0451005747541957e-13
0.010759774765112088, 1.0623886710690113e-13
0.01076473146141123, 1.0797082232706767e-13
0.010769690441107451, 1.0970589196508883e-13
0.010774651705252635, 1.1144404686749683e-13
0.010779615254899158, 1.1318525975230588e-13
0.010784581091099874, 1.1492950507553665e-13
0.010789549214908137, 1.1667675890896045e-13
0.010794519627377775, 1.1842699882795766e-13
0.010799492329563103, 1.2018020380856667e-13
0.010804467322518916, 1.2193635413283665e-13
0.010809444607300512, 1.2369543130173918e-13
0.010814424184963659, 1.2545741795491649e-13
0.010819406056564618, 1.2722229779668842e-13
0.010824390223160129, 1.2899005552773132e-13
0.010829376685807435, 1.3076067678195366e-13
0.010834365445564254, 1.3253414806808382e-13
0.01083935650348879, 1.3431045671560095e-13
0.010844349860639736, 1.360895908246192e-13
0.010849345518076283, 1.3787153921940108e-13
0.010854343476858095, 1.3965629140518426e-13
0.010859343738045335, 1.4144383752807723e-13
0.010864346302698641, 1.432341683377441e-13
0.010869351171879161, 1.4502727515268773e-13
0.010874358346648514, 1.4682314982788163e-13
0.010879367828068814, 1.486217847246122e-13
0.010884379617202658, 1.5042317268232751e-13
0.01088939371511315, 1.5222730699235904e-13
0.010894410122863865, 1.5403418137334757e-13
0.010899428841518878, 1.558437899482781e-13
0.010904449872142744, 1.5765612722297602e-13
0.010909473215800526, 1.594711880659813e-13
0.010914498873557762, 1.612889676896669e-13
0.010919526846480489, 1.631094616325496e-13
0.010924557135635225, 1.6493266574268016e-13
0.010929589742088996, 1.6675857616205353e-13
0.010934624666909308, 1.68587189311948e-13
0.010939661911164156, 1.7041850187915093e-13
0.010944701475922032, 1.7225251080299743e-13
0.010949743362251928, 1.740892132631716e-13
0.010954787571223317, 1.7592860666820545e-13
0.010959834103906167, 1.7777068864465007e-13
0.010964882961370933, 1.796154570268615e-13
0.010969934144688583, 1.8146290984736878e-13
0.010974987654930561, 1.833130453277646e-13
0.01098004349316881, 1.8516586187011743e-13
0.010985101660475758, 1.870213580488475e-13
0.010990162157924347, 1.888795326030557e-13
0.010995224986587997, 1.9074038442924748e-13
0.011000290147540625, 1.9260391257446334e-13
0.01100535764185664, 1.9447011622976545e-13
0.011010427470610961, 1.963389947240786e-13
0.011015499634878988, 1.9821054751832784e-13
0.011020574135736618, 2.000847741999059e-13
0.011025650974260242, 2.0196167447740698e-13
0.011030730151526759, 2.0384124817564332e-13
0.011035811668613553, 2.0572349523089304e-13
0.011040895526598506, 2.076084156864039e-13
0.01104598172655999, 2.0949600968810867e-13
0.011051070269576899, 2.1138627748056819e-13
0.011056161156728592, 2.1327921940308076e-13
0.011061254389094945, 2.151748358860166e-13
0.01106634996775632, 2.1707312744730128e-13
0.011071447893793593, 2.189740946890876e-13
0.011076548168288122, 2.2087773829456213e-13
0.011081650792321762, 2.2278405902492128e-13
0.011086755766976887, 2.2469305771648497e-13
0.01109186309333635, 2.266047352779315e-13
0.011096972772483506, 2.2851909268767255e-13
0.011102084805502213, 2.304361309913431e-13
0.011107199193476823, 2.323558512994038e-13
0.011112315937492201, 2.3427825478485784e-13
0.011117435038633699, 2.362033426810548e-13
0.011122556497987162, 2.3813111627960385e-13
0.01112768031663896, 2.400615769283857e-13
0.011132806495675945, 2.41994726029627e-13
0.011137935036185471, 2.439305650380798e-13
0.01114306593925539, 2.458690954592696e-13
0.011148199205974072, 2.478103188478284e-13
0.011153334837430372, 2.4975423680587954e-13
0.011158472834713652, 2.5170085098150817e-13
0.011163613198913768, 2.536501630672871e-13
0.011168755931121101, 2.5560217479887473e-13
0.011173901032426508, 2.5755688795364716e-13
0.011179048503921363, 2.595143043494156e-13
0.011184198346697533, 2.614744258431723e-13
0.011189350561847404, 2.63437254329909e-13
0.01119450515046385, 2.6540279174145786e-13
0.011199662113640256, 2.6737104004540104e-13
0.0112048214524705, 2.6934200124400824e-13
0.011209983168048986, 2.7131567737323275e-13
0.0112151472614706, 2.732920705017241e-13
0.011220313733830745, 2.7527118272989924e-13
