relative contribution to rate (dimensionless), Energy (eV) 
0.818490317540929 , 0.15028084622021795
0.8755710065141242 , 0.14930031228956786
0.8744096048109112 , 0.14918403595432977
0.005942617165210199 , 0.1414789863834316
0.006187267943433533 , 0.14147752372348263
0.016774282985978616 , 0.13168253407994646
0.15719152112226667 , 0.09548701552428956
0.15731341219129147 , 0.09548115274482566
0.10778785885009017 , 0.0939252268447551
0.030623855421734507 , 0.08208544059273346
0.030628856108655615 , 0.08208478022393997
1.0 , 0.0636633081179134
0.7858220268380854 , 0.05906867985286712
0.7858281916101122 , 0.059047257405003536
0.0033944175264648785 , 0.05340126862677019
0.020138393322570818 , 0.04759409440525699
0.020143438351564597 , 0.04759371356479383
0.28574895773252357 , 0.0467894854630289
0.0008594257888459127 , 0.04268963428123361
0.007458094220934169 , 0.03075999851051168
0.007579691367674731 , 0.030759633574414066
0.059686350504572036 , 0.018557007444128068
0.06954038201955685 , 0.014179178142365922
0.07013717889471768 , 0.014178963173722067
