m (eV), gayy (GeV^(-1))
0.01, 1.8314983315285128e-11
0.010004606691503637, 1.8317689861790772e-11
0.010009215505167928, 1.832039529024767e-11
0.0100138264419705, 1.8323099598392165e-11
0.010018439502889411, 1.8325802783957766e-11
0.010023054688903176, 1.8328504844675136e-11
0.010027672000990756, 1.8331205778272092e-11
0.010032291440131577, 1.8333905582473638e-11
0.010036913007305503, 1.8336604255001914e-11
0.010041536703492851, 1.83393017935762e-11
0.010046162529674389, 1.8341998195912938e-11
0.010050790486831348, 1.8344693459725716e-11
0.0100554205759454, 1.8347387582725255e-11
0.010060052797998669, 1.8350080562619415e-11
0.01006468715397373, 1.8352772397113196e-11
0.010069323644853629, 1.835546308390873e-11
0.010073962271621838, 1.8358152620705263e-11
0.010078603035262302, 1.8360841005199166e-11
0.010083245936759404, 1.8363528235083948e-11
0.010087890977097997, 1.8366214308050224e-11
0.010092538157263378, 1.8368899221785732e-11
0.010097187478241296, 1.8371582973975298e-11
0.010101838941017955, 1.8374265562300876e-11
0.010106492546580022, 1.8376946984441522e-11
0.010111148295914613, 1.837962723807338e-11
0.010115806190009291, 1.8382306320869714e-11
0.010120466229852082, 1.8384984230500854e-11
0.01012512841643147, 1.8387660964634233e-11
0.01012979275073639, 1.8390336520934382e-11
0.010134459233756232, 1.8393010897062905e-11
0.010139127866480835, 1.8395684090678475e-11
0.010143798649900514, 1.8398356099436858e-11
0.010148471585006024, 1.8401026920990885e-11
0.010153146672788578, 1.8403696552990467e-11
0.010157823914239843, 1.8406364993082563e-11
0.01016250331035196, 1.840903223891122e-11
0.010167184862117507, 1.8411698288117517e-11
0.010171868570529527, 1.8414363138339607e-11
0.010176554436581518, 1.8417026787212695e-11
0.010181242461267448, 1.841968923236903e-11
0.010185932645581725, 1.8422350471437902e-11
0.010190624990519226, 1.8425010502045656e-11
0.010195319497075278, 1.842766932181567e-11
0.010200016166245681, 1.8430326928368352e-11
0.01020471499902668, 1.843298331932114e-11
0.010209415996414985, 1.8435638492288524e-11
0.010214119159407757, 1.8438292444881986e-11
0.010218824489002633, 1.8440945174710057e-11
0.010223531986197697, 1.8443596679378263e-11
0.010228241651991493, 1.8446246956489162e-11
0.010232953487383024, 1.8448896003642306e-11
0.010237667493371768, 1.8451543818434283e-11
0.010242383670957644, 1.845419039845866e-11
0.010247102021141043, 1.8456835741306003e-11
0.010251822544922806, 1.845947984456389e-11
0.010256545243304254, 1.846212270581689e-11
0.010261270117287152, 1.8464764322646545e-11
0.010265997167873735, 1.846740469263141e-11
0.010270726396066689, 1.8470043813347006e-11
0.01027545780286918, 1.8472681682365833e-11
0.010280191389284826, 1.8475318297257372e-11
0.010284927156317703, 1.8477953655588074e-11
0.01028966510497235, 1.8480587754921352e-11
0.010294405236253783, 1.848322059281761e-11
0.010299147551167467, 1.8485852166834183e-11
0.010303892050719334, 1.8488482474525375e-11
0.010308638735915771, 1.8491111513442455e-11
0.01031338760776365, 1.8493739281133622e-11
0.01031813866727029, 1.8496365775144046e-11
0.010322891915443475, 1.8498990993015826e-11
0.010327647353291452, 1.8501614932288002e-11
0.010332404981822947, 1.8504237590496552e-11
0.010337164802047136, 1.8506858965174393e-11
0.010341926814973664, 1.8509479053851367e-11
0.010346691021612635, 1.8512097854054235e-11
0.010351457422974638, 1.8514715363306702e-11
