relative contribution to rate (dimensionless), Energy (eV) 
1.0 , 0.1498654916220448
0.9643532762357059 , 0.14888277797630134
0.964199200773642 , 0.1487561306093695
0.007455792389879441 , 0.14107877801299704
0.007778017701555877 , 0.14107718845455794
7.007821775883433e-16 , 0.1312825340799467
0.05126356164875179 , 0.0950861883495522
0.051485654770687936 , 0.09507974239329896
0.04678407170276983 , 0.0935247987094413
0.01253997330903968 , 0.08168531288904088
0.012571254975936218 , 0.08168455479313924
0.24750799487466835 , 0.0632533945532748
0.23581748701871663 , 0.05865421018879604
0.2370506124232669 , 0.05862109642309359
6.607152179806718e-16 , 0.05300126862677018
0.0074614635352444865 , 0.04719305894325698
0.007549327001977346 , 0.047191857705519424
0.05096435196268771 , 0.046386042870623374
4.294381800738223e-16 , 0.04228963428123368
0.00255868603817629 , 0.030358809798630475
0.002575054978838771 , 0.03035854500084091
1.7021195605929377e-16 , 0.018157007444128057
4.365929773227805e-07 , 0.013778661357266525
3.9749275096916797e-07 , 0.0137786491521831
