theta_(nup, lam) == T_11^(-1)_(nup, 3n + lambda), theta_nup0^2 + theta_nup1^2, E_nup
(0.017497423823011803+0.5855790489588008j) , (1.989482079659753e-06-5.9446854292091645e-08j) , 0.3432089824238972 , 0.1102138741091852
(-3.721108482909975e-07+1.7002351387352469e-06j) , (-0.6707271950953894-0.14679430639099525j) , 0.4714235386323712 , 0.10953130892821514
(0.011810145068613668+0.39525929712091196j) , (4.1347618465802765e-08-1.2354625747586262e-09j) , 0.15636939148706078 , 0.10720037562780216
(3.372862754925655e-16-6.091957969765124e-15j) , (-1.1073141280122613e-15-5.505557373169747e-17j) , 3.845488963131494e-29 , 0.08817416375449658
(1.0522826424589105e-08+2.7041111024604566e-08j) , (1.3256095750022729e-08-4.584147528317411e-09j) , 1.0386900445021707e-15 , 0.07954791442032572
(2.223784092980194e-09-1.0907813416530655e-08j) , (3.607583677117815e-08+5.930953357028378e-09j) , 1.4605678156859735e-15 , 0.07954790648093037
(-1.8221223467943054e-16+1.6941045102111625e-15j) , (4.314920360117391e-16+1.344134898843893e-16j) , 3.1074437533891317e-30 , 0.0669145227660062
(6.59804804533177e-08+1.579964776435161e-08j) , (-3.227700811643089e-10-3.134040249346629e-08j) , 5.585377679305982e-15 , 0.029819288999306474
(7.601783437776008e-10+2.5441383766001374e-08j) , (-8.161244225601031e-08-1.7861614016747503e-08j) , 7.627469865317195e-15 , 0.029819286048232294
(0.042589094161477666+1.425225439175909j) , (4.952147915722587e-06-1.479848894600104e-07j) , 2.0330813834402033 , 0.005564957059239638
(1.03607037025121e-06-4.733955391232358e-06j) , (1.4157450467429082+0.3098481148283713j) , 2.1003398916632587 , 0.005554764597827542
