relative contribution to rate (dimensionless), Energy (eV) 
0.99333809334135 , 0.10954159700920814
1.0 , 0.10922909772747892
0.9891119068423977 , 0.10593728301771375
3.4368926937937074e-16 , 0.09140333823144418
3.4588838692914404e-16 , 0.09140333822487715
3.897506104481029e-18 , 0.09133504429803338
1.3876615592863616e-18 , 0.08416089406083781
2.0878342086829219e-16 , 0.07822472068530417
0.003356500811679763 , 0.07632696731776444
0.0034735703817480963 , 0.076325527182561
3.938714636577494e-19 , 0.07341321501054843
3.5632712863121264e-17 , 0.07022305440598829
3.559285895523914e-17 , 0.07022305428898663
1.3188581650132026e-16 , 0.06434889355842163
0.07263562566513829 , 0.06103784541912266
0.018754137504281336 , 0.05822339190481524
0.019590709598580665 , 0.05820919278388199
4.46310618392855e-16 , 0.05436366590070071
4.457536896731721e-16 , 0.05436366585505221
3.2070712958552347e-16 , 0.05283776935710986
3.2107357890731563e-16 , 0.05283776924810303
7.78451119732233e-17 , 0.05095575563336219
0.001392172880694776 , 0.047555913521507245
0.0014614418041770877 , 0.047554923113396194
2.5861019853191205e-16 , 0.04560796711378166
2.587371108972352e-16 , 0.04560796709337095
1.0440657830961547e-18 , 0.03761950535506031
