m (eV), gayy (GeV^(-1))
0.01, 6.090505052050913e-12
0.010004606691503637, 6.09104629001392e-12
0.010009215505167928, 6.0915866601257e-12
0.0100138264419705, 6.092126161042833e-12
0.010018439502889411, 6.0926647914202706e-12
0.010023054688903176, 6.093202549911334e-12
0.010027672000990756, 6.093739435167716e-12
0.010032291440131577, 6.0942754458394725e-12
0.010036913007305503, 6.094810580575033e-12
0.010041536703492851, 6.095344838021178e-12
0.010046162529674389, 6.09587821682306e-12
0.010050790486831348, 6.096410715624184e-12
0.0100554205759454, 6.09694233306642e-12
0.010060052797998669, 6.097473067789986e-12
0.01006468715397373, 6.098002918433457e-12
0.010069323644853629, 6.098531883633762e-12
0.010073962271621838, 6.099059962026178e-12
0.010078603035262302, 6.0995871522443295e-12
0.010083245936759404, 6.100113452920186e-12
0.010087890977097997, 6.1006388626840666e-12
0.010092538157263378, 6.1011633801646255e-12
0.010097187478241296, 6.101687003988866e-12
0.010101838941017955, 6.102209732782116e-12
0.010106492546580022, 6.102731565168058e-12
0.010111148295914613, 6.1032524997686945e-12
0.010115806190009291, 6.103772535204365e-12
0.010120466229852082, 6.104291670093742e-12
0.01012512841643147, 6.1048099030538245e-12
0.01012979275073639, 6.105327232699941e-12
0.010134459233756232, 6.10584365764574e-12
0.010139127866480835, 6.106359176503195e-12
0.010143798649900514, 6.106873787882606e-12
0.010148471585006024, 6.1073874903925796e-12
0.010153146672788578, 6.107900282640054e-12
0.010157823914239843, 6.10841216323027e-12
0.01016250331035196, 6.108923130766789e-12
0.010167184862117507, 6.1094331838514816e-12
0.010171868570529527, 6.109942321084525e-12
0.010176554436581518, 6.1104505410644085e-12
0.010181242461267448, 6.1109578423879246e-12
0.010185932645581725, 6.111464223650166e-12
0.010190624990519226, 6.111969683444533e-12
0.010195319497075278, 6.112474220362717e-12
0.010200016166245681, 6.112977832994714e-12
0.01020471499902668, 6.113480519928811e-12
0.010209415996414985, 6.11398227975159e-12
0.010214119159407757, 6.114483111047927e-12
0.010218824489002633, 6.114983012400982e-12
0.010223531986197697, 6.115481982392206e-12
0.010228241651991493, 6.115980019601335e-12
0.010232953487383024, 6.116477122606386e-12
0.010237667493371768, 6.116973289983661e-12
0.010242383670957644, 6.117468520307742e-12
0.010247102021141043, 6.117962812151481e-12
0.010251822544922806, 6.1184561640860146e-12
0.010256545243304254, 6.118948574680749e-12
0.010261270117287152, 6.11944004250336e-12
0.010265997167873735, 6.119930566119797e-12
0.010270726396066689, 6.1204201440942705e-12
0.01027545780286918, 6.120908774989264e-12
0.010280191389284826, 6.121396457365517e-12
0.010284927156317703, 6.121883189782036e-12
0.01028966510497235, 6.1223689707960845e-12
0.010294405236253783, 6.122853798963183e-12
0.010299147551167467, 6.123337672837108e-12
0.010303892050719334, 6.123820590969889e-12
0.010308638735915771, 6.124302551911806e-12
0.01031338760776365, 6.124783554211389e-12
0.01031813866727029, 6.125263596415416e-12
0.010322891915443475, 6.125742677068908e-12
0.010327647353291452, 6.126220794715128e-12
0.010332404981822947, 6.126697947895586e-12
0.010337164802047136, 6.1271741351500235e-12
0.010341926814973664, 6.127649355016425e-12
0.010346691021612635, 6.128123606031004e-12
0.010351457422974638, 6.128596886728214e-12
0.010356226020070703, 6.129069195640734e-12
0.010360996813912338, 6.12954053129947e-12
0.010365769805511522, 6.1300108922335614e-12
0.010370544995880693, 6.1304802769703645e-12
0.010375322386032752, 6.1309486840354666e-12
0.010380101976981068, 6.131416111952666e-12
0.010384883769739492, 6.131882559243988e-12
0.010389667765322323, 6.132348024429668e-12
0.010394453964744334, 6.132812506028158e-12
