relative contribution to rate (dimensionless), Energy (eV) 
0.9604961223254147 , 0.10613999959207164
0.9623066011138476 , 0.1059465231062666
1.0 , 0.10170075246593742
6.498705105260945e-19 , 0.0897585003034707
3.235125438022187e-16 , 0.08931990964362885
3.2116306997407317e-16 , 0.08931990964356513
3.471587113079677e-23 , 0.08288593369296286
5.238590482342157e-16 , 0.07631097254714761
0.0048661753493791865 , 0.0746923057453089
0.004925132193790221 , 0.07469132265635695
2.2619803508311906e-23 , 0.07202406772123712
6.269118844303222e-17 , 0.06877496930530447
6.26738831712506e-17 , 0.06877496930504626
1.6921548525824426e-16 , 0.06399429017388986
0.04861159936378076 , 0.06331586453879652
0.025223760242850096 , 0.05784445620533788
0.025576769291399185 , 0.05783880183356906
1.4254219204270894e-16 , 0.05332073686603991
1.425148277197661e-16 , 0.053320736865930224
3.0911209286545936e-16 , 0.05099716957730568
3.0830671042073327e-16 , 0.05099716957714019
3.958903808746104e-17 , 0.04957275215387274
0.0013421515004137202 , 0.04594951437810786
0.0013744955828334882 , 0.04594913151383026
7.901524245849856e-16 , 0.04493422853235331
7.905135044928579e-16 , 0.04493422853222703
6.26695467792964e-19 , 0.03602034676136617
