relative contribution to rate (dimensionless), Energy (eV) 
0.9431879088749794 , 0.10558644009413158
0.9432517217743147 , 0.1055843691210806
1.0 , 0.1012992945829798
6.632774029563485e-19 , 0.08935862530347068
3.203838709025957e-16 , 0.0889200246436287
3.2048289875338614e-16 , 0.08892001464356532
3.255380053592761e-23 , 0.08248602869296301
5.158471206661467e-16 , 0.07591105754714764
0.004832166670962891 , 0.07429166070583368
0.004833859589497258 , 0.07429164350180067
2.2846559406073266e-23 , 0.0716241227212372
6.22763709173117e-17 , 0.06837500430530451
6.227512093594717e-17 , 0.06837499430504627
1.6918697611382789e-16 , 0.06359428517388989
0.04876456266036304 , 0.06291225064036317
0.02523919470990323 , 0.05743668506888081
0.02525095127143213 , 0.057436489945080854
1.424582508708979e-16 , 0.05292072186603993
1.4246814368033507e-16 , 0.05292071186593022
3.078725069184343e-16 , 0.05059711457730564
3.08246890597121e-16 , 0.05059710457714016
3.945012925088976e-17 , 0.049172677153872794
0.0013625410766455878 , 0.04554874138147376
0.00136341719114981 , 0.04554872961548573
7.929416018161823e-16 , 0.04453411353235329
7.949025755874998e-16 , 0.0445341035322271
6.523034627170418e-19 , 0.03562021176136621
